,학과명,과목명,학번,이중
0,Language&AI,고급파이썬프로그래밍,ALL,이중
1,Language&AI,확률과통계,ALL,이중
2,Language&AI,언어공학개론,ALL,이중
3,Language&AI,컴퓨터와언어학,ALL,이중
4,Language&AI,언어분석을위한프로그래밍,ALL,이중
5,Language&AI,언어데이터분석의기초,ALL,이중
6,Language&AI,컴퓨터수학,ALL,이중
7,Software&AI,자료구조,ALL,이중
8,Software&AI,알고리즘,ALL,이중
9,Software&AI,소프트웨어공학,ALL,이중
10,Software&AI,종합설계,ALL,이중
11,ELLT,고급영어문법(1),ALL,이중
12,ELLT,영어학개론(1),ALL,이중
13,ELLT,언어공학개론,ALL,이중
14,ELLT,Critical Writing,ALL,이중
15,ELLT,Critical Writing,ALL,이중
16,EU전공,유럽학입문,ALL,이중
17,FATI,초급프랑스어강독(1),ALL,이중
18,FATI,초급프랑스어회화(1),ALL,이중
19,FATI,중급프랑스어강독(1),ALL,이중
20,FATI,중급프랑스어회화(1),ALL,이중
21,KFL,한국어교육입문,ALL,이중
22,KFL,한국어통번역입문,ALL,이중
23,KFL,한국어학개론,ALL,이중
24,KFL,한국어교육학개론,ALL,이중
25,Diplomacy,"제2외국어(프랑스어)III, IV",ALL,이중
26,Diplomacy,"제2외국어(프랑스어)V, VI",ALL,이중
27,Diplomacy,"제2외국어(스페인어)III, IV",ALL,이중
28,Diplomacy,"제2외국어(스페인어)V, VI",17~,이중
29,Diplomacy,국제법개론,17~,이중
30,Diplomacy,경제학개론,17~,이중
31,Diplomacy,국제관계개론,17~,이중
32,Diplomacy,국제관계세미나,17~,이중
33,Diplomacy,국제정치경제학,23~,이중
34,Diplomacy,국제관계이론,ALL,이중
35,Trade,Principles of Economics(1),ALL,이중
36,Trade,제2외국어(1),ALL,이중
37,Trade,"제2외국어(3),(4)",ALL,이중
38,Trade,"제2외국어(5),(6)",ALL,이중
39,경영학,경영학원론,ALL,이중
40,경영학,회계원리,ALL,이중
41,경영학,경영통계학,ALL,이중
42,경영학,운영관리,ALL,이중
43,경영학,마케팅관리,ALL,이중
44,경영학,조직행동,ALL,이중
45,경영학,재무관리,ALL,이중
46,경영학,재무회계(1),ALL,이중
47,경영학,국제경영론,ALL,이중
48,경영학,경영정보학개론,ALL,이중
49,경제학,경제학원론(1),ALL,이중
50,경제학,미시경제학,ALL,이중
51,경제학,거시경제학,ALL,이중
52,광고,광고의이해,ALL,이중
53,광고,PR의이해,ALL,이중
54,광고,브랜드의이해,ALL,이중
55,광고,"미디어커뮤니케이션1,2",ALL,이중
56,광고,미디어커뮤니케이션글쓰기,ALL,이중
57,광고,미디어연구방법론,ALL,이중
58,국제통상,Principles of Economics (1),ALL,이중
59,국제통상,Mathematics for Economics,ALL,이중
60,국제통상,Statistics,ALL,이중
61,국제통상,Business Law,ALL,이중
62,국제통상,Introduction to International Law,ALL,이중
63,국제통상,Microeconomic Analysis,ALL,이중
64,국제통상,International Trade Theory,ALL,이중
65,국제통상,Macroeconomic Analysis,ALL,이중
66,국제통상,International Balance of Payments,ALL,이중
67,국제통상,International Commerce Law,ALL,이중
68,국제통상,International Contract Law,ALL,이중
69,국제통상,Econometrics and Data Analysis,ALL,이중
70,국제통상,Law & Economics,ALL,이중
71,국제학,Principles of EconomicsⅠ,ALL,이중
72,국제학,Principles of EconomicsⅡ,ALL,이중
73,국제학,Understanding Culture,ALL,이중
74,국제학,International Relations Theory,ALL,이중
75,국제학,"English 1 (Academic Writing for International Studies)
(구 EnglishⅠ)",ALL,이중
76,국제학,"English 2 (English Debate and Presentation)
(구 EnglishⅡ)",19~,제외
77,국제학,"Volunteer ServiceⅠ, Ⅱ",ALL,이중
78,네덜란드,초급네덜란드어강독문법(1),ALL,이중
79,네덜란드,네덜란드어회화작문I(1),ALL,이중
80,네덜란드,멀티미디어네덜란드어I(1),ALL,이중
81,네덜란드,네덜란드어회화작문II(1),ALL,이중
82,네덜란드,멀티미디어네덜란드어II(1),ALL,이중
83,네덜란드,중급네덜란드어강독문법(1),ALL,이중
84,네덜란드,FLEX네덜란드어,ALL,이중
85,노어,러시아어말하기(1),ALL,이중
86,노어,러시아어말하기심화(1),ALL,이중
87,독일어,독일어읽기B2(구 Lesekurs Deutsch2),ALL,이중
88,독일어,어휘와구문B2(구 어휘와 구문4),ALL,이중
89,독일어,독일어말하기B2(구 독일어연습B2),ALL,이중
90,독일어,독일어쓰기B2,ALL,이중
91,말레이,초급마인어회화작문(1),ALL,이중
92,말레이,초급마인어(1),ALL,이중
93,말레이,"인도네시아세계역사.문화: 인도네시아, 동티모르, 필리핀",ALL,이중
94,말레이,"말레이시아세계역사와문화: 말레이시아, 싱가포르, 브루나이",ALL,이중
95,말레이,영상마인어(1),ALL,이중
96,말레이,중급마인어회화작문(1),22~,이중
97,말레이,지역과지역학,ALL,이중
98,몽골,초급몽골어문법(1),ALL,이중
99,몽골,중급몽골어회화(1),ALL,이중
